draw_number,draw_date,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,ball_7
93/101,30/12/1993,14,16,23,26,32,33,10
93/100,28/12/1993,3,5,12,27,28,39,9
93/099,23/12/1993,2,16,17,21,24,32,20
93/098,16/12/1993,7,17,18,20,24,28,32
93/097,14/12/1993,3,8,19,27,32,38,26
93/096,09/12/1993,3,5,12,14,23,28,8
93/095,07/12/1993,22,24,29,34,35,42,26
93/094,02/12/1993,3,13,23,29,36,37,7
93/093,30/11/1993,3,7,8,13,28,41,19
93/092,25/11/1993,8,12,18,19,37,43,7
93/091,23/11/1993,16,20,25,30,40,42,45
93/090,18/11/1993,20,24,34,35,37,42,32
93/089,16/11/1993,16,17,32,36,41,43,20
93/088,11/11/1993,4,8,17,27,40,43,5
93/087,09/11/1993,6,9,20,29,34,39,18
93/086,04/11/1993,2,3,25,28,38,39,32
93/085,02/11/1993,2,4,26,30,34,43,20
93/084,28/10/1993,1,24,32,37,38,42,30
93/083,26/10/1993,8,19,25,26,43,45,34
93/082,21/10/1993,10,12,14,18,22,24,36
93/081,19/10/1993,1,6,11,20,27,34,9
93/080,14/10/1993,14,31,33,36,39,41,9
93/079,12/10/1993,9,20,25,27,40,42,10
93/078,07/10/1993,6,8,10,14,23,30,36
93/077,05/10/1993,5,7,13,14,18,19,17
93/076,30/09/1993,2,6,7,16,29,38,3
93/075,28/09/1993,5,7,13,18,19,34,11
93/074,23/09/1993,2,5,14,16,24,32,9
93/073,21/09/1993,7,14,27,31,43,45,4
93/072,16/09/1993,9,18,26,30,33,39,8
93/071,14/09/1993,5,6,20,26,33,44,38
93/070,09/09/1993,3,4,8,12,20,30,40
93/069,07/09/1993,11,13,14,15,19,23,4
93/068,02/09/1993,1,14,24,29,42,43,22
93/067,31/08/1993,9,12,30,32,40,45,10
93/066,26/08/1993,3,10,18,21,27,41,22
93/065,24/08/1993,3,6,27,32,37,43,15
93/064,19/08/1993,8,17,21,35,37,44,11
93/063,17/08/1993,9,12,15,22,24,26,8
93/062,12/08/1993,1,16,24,28,34,40,14
93/061,10/08/1993,2,9,14,16,21,38,34
93/060,05/08/1993,1,6,21,26,27,33,18
93/059,03/08/1993,4,7,11,36,39,45,32
